Ticker,Name,Exchange
NZDSAR=X,NZD/SAR,CCY
HUFNZD=X,HUF/NZD,CCY
SOS=X,USD/SOS,CCY
JPYKPW=X,JPY/KPW,CCY
KESCHF=X,KES/CHF,CCY
CHFAED=X,CHF/AED,CCY
GBPKGS=X,GBP/KGS,CCY
MYRTWD=X,MYR/TWD,CCY
EUROMR=X,EUR/OMR,CCY
SGDILS=X,SGD/ILS,CCY
TNDTHB=X,TND/THB,CCY
KYDUSD=X,KYD/USD,CCY
ISKAED=X,ISK/AED,CCY
GTQCHF=X,GTQ/CHF,CCY
MOPCHF=X,MOP/CHF,CCY
PHPCNY=X,PHP/CNY,CCY
EUR-CRC.F,EUR/CRC,FRA
CZKUSD=X,CZK/USD,CCY
19753568.SW,SILBER 999/1000,EBS
AUDARS=X,AUD/ARS,CCY
HUFEGP=X,HUF/EGP,CCY
VEF=X,USD/VEF,CCY
CADSYP=X,CAD/SYP,CCY
RUBMUR=X,RUB/MUR,CCY
DKKCHF=X,DKK/CHF,CCY
CZKDKK=X,CZK/DKK,CCY
PLNISK=X,PLN/ISK,CCY
GBPCNH=X,GBP/CNH,CCY
CHFMGA=X,CHF/MGA,CCY
HRKILS=X,HRK/ILS,CCY
GBPPAB=X,GBP/PAB,CCY
UYUGBP=X,UYU/GBP,CCY
MADLKR=X,MAD/LKR,CCY
SEKOMR=X,SEK/OMR,CCY
VND=X,USD/VND,CCY
GBPBND=X,GBP/BND,CCY
TRYTND=X,TRY/TND,CCY
AEDTHB=X,AED/THB,CCY
DKKUSD=X,DKK/USD,CCY
NOKHUF=X,NOK/HUF,CCY
TNDNZD=X,TND/NZD,CCY
ISKSEK=X,ISK/SEK,CCY
ARSVEF=X,ARS/VEF FIXING,CCY
EGPIDR=X,EGP/IDR,CCY
MADEUR=X,MAD/EUR,CCY
MYRMUR=X,MYR/MUR,CCY
CNYRUB=X,CNY/RUB,CCY
CHFANG=X,CHF/ANG,CCY
TNDOMR=X,TND/OMR,CCY
MURKES=X,MUR/KES,CCY
GBPNAD=X,GBP/NAD,CCY
SBDGBP=X,SBD/GBP,CCY
BND=X,USD/BND,CCY
GTQCAD=X,GTQ/CAD,CCY
MYREGP=X,MYR/EGP,CCY
EURAUD=X,EUR/AUD,CCY
CADMAD=X,CAD/MAD,CCY
EGPQAR=X,EGP/QAR,CCY
DKKJPY=X,DKK/JPY,CCY
JPYMGA=X,JPY/MGA,CCY
JODTRY=X,JOD/TRY,CCY
EUR-PGK.F,EUR/PGK,FRA
AUDISK=X,AUD/ISK,CCY
JODUSD=X,JOD/USD,CCY
JPYCHF=X,JPY/CHF,CCY
CADHRK=X,CAD/HRK,CCY
SZLEUR=X,SZL/EUR,CCY
CHFIDR=X,CHF/IDR,CCY
XPFCHF=X,XPF/CHF,CCY
EUR-GMD.F,EUR/GMD,FRA
MXNMAD=X,MXN/MAD,CCY
LVLSAR=X,LVL/SAR,CCY
MXNARS=X,MXN/ARS,CCY
PHPOMR=X,PHP/OMR,CCY
AUDNZD=X,AUD/NZD,CCY
CZKBHD=X,CZK/BHD,CCY
CHFBWP=X,CHF/BWP,CCY
PHPSEK=X,PHP/SEK,CCY
TWDSEK=X,TWD/SEK,CCY
CHFMXN=X,CHF/MXN,CCY
MGA=X,USD/MGA,CCY
JPYPKR=X,JPY/PKR,CCY
DKK=X,USD/DKK,CCY
THBHKD=X,THB/HKD,CCY
THBPHP=X,THB/PHP,CCY
EUR-SOS.F,EUR/SOS,FRA
GBPBAM=X,GBP/BAM,CCY
CZKBND=X,CZK/BND,CCY
JPYSGD=X,JPY/SGD,CCY
EUR-CNY.F,EUR/CNY,FRA
HKDHUF=X,HKD/HUF FIXING,CCY
TNDCAD=X,TND/CAD,CCY
KWDDKK=X,KWD/DKK,CCY
CZKCLP=X,CZK/CLP,CCY
CHFBYR=X,CHF/BYR,CCY
XPF=X,USD/XPF,CCY
VUVCHF=X,VUV/CHF,CCY
CVE=X,USD/CVE,CCY
EUR-XOF.F,EUR/XOF,FRA
LTLJPY=X,LTL/JPY,CCY
20162411.SW,KUPFER 999/1000    ,EBS
CHFVND=X,CHF/VND,CCY
HKDQAR=X,HKD/QAR,CCY
GBPEUR=X,GBP/EUR,CCY
BBDEUR=X,BBD/EUR,CCY
VNDKRW=X,VND/KRW,CCY
LKRSAR=X,LKR/SAR,CCY
CADBOB=X,CAD/BOB,CCY
GIPDKK=X,GIP/DKK,CCY
EURGTQ=X,EUR/GTQ,CCY
BRLEUR=X,BRL/EUR,CCY
CNYEUR=X,CNY/EUR,CCY
MYRUSD=X,MYR/USD,CCY
MURMXN=X,MUR/MXN,CCY
CHFRUB=X,CHF/RUB,CCY
LVLEUR=X,LVL/EUR,CCY
INRUSD=X,INR/USD,CCY
ZARTWD=X,ZAR/TWD,CCY
HKDPLN=X,HKD/PLN,CCY
THBCAD=X,THB/CAD,CCY
GBPBDT=X,GBP/BDT,CCY
GBPDOP=X,GBP/DOP,CCY
TRYKRW=X,TRY/KRW,CCY
CHFPGK=X,CHF/PGK,CCY
EUR-SLL.F,EUR/SLL,FRA
EURJPYFIX=X,EUR/JPY FIXING,CCY
EURNIO=X,EUR/NIO,CCY
MVRUSD=X,MVR/USD,CCY
CADLKR=X,CAD/LKR,CCY
GBPDKK=X,GBP/DKK,CCY
19664658.SW,SILVER COINS 1 UZ,EBS
JPYLYD=X,JPY/LYD,CCY
TNDKWD=X,TND/KWD,CCY
PHPPKR=X,PHP/PKR,CCY
CADERN=X,CAD/ERN,CCY
EURALL=X,EUR/ALL,CCY
WSTUSD=X,WST/USD,CCY
VUVUYU=X,VUV/UYU,CCY
HUFKES=X,HUF/KES,CCY
RONBRL=X,RON/BRL,CCY
CNYTRY=X,CNY/TRY,CCY
ZARLKR=X,ZAR/LKR,CCY
CLFEUR=X,CLF/EUR,CCY
GBPXCD=X,GBP/XCD,CCY
ANGCHF=X,ANG/CHF,CCY
CNYGBP=X,CNY/GBP,CCY
CDF=X,USD/CDF,CCY
INRJOD=X,INR/JOD,CCY
AWGUSD=X,AWG/USD,CCY
HF50.EX,STURM FL 50BN 10,EUX
