Ticker,Name,Exchange
GNLJ1317.NYM,GNL Future APR 17 2013,NYM
QXG13.NYM,Eastern Rail CSX Coal Swap Futu,NYM
AU1U13.NYM,AU1 Future SEP 2013,NYM
KM3M1303.NYM,KM3 Future JUN 03 2013,NYM
A0U13.CME,Weather Monthly Cooling Degree ,CME
FYN13.NYM,Brent Dated to Frontline Calend,NYM
DAJ14.CME,"Milk Class III Futures,Apr-2014",CME
3MFN13-2.SI,"3MF future for July 2013, being",SES
SVO-CV13-C.PH,,
MENQ1322.NYM,"Daily or weekly future for MEN,",NYM
MIBSWB-EW0913-C.PH,,
6ZU17.NYM,Tennessee 800 leg Natural Gas B,NYM
U2X13.NYM,"future for U2, November, 2013, ",NYM
SVQ1308.NYM,Natural Gas Panhandle Swing Fut,NYM
SUNP-U1326.BO,SUNP     SEP  2013 FUTURE,BSE
NDF14.NYM,ANR Louisiana Basis (Natural Ga,NYM
C6Q1320.NYM,C6 Future AUG 20 2013,NYM
X3X1316.NYM,X3 Future NOV 16 2013 Trading S,NYM
WSU14.NYM,"Crude Oil - Financial Futures,S",NYM
X3F1323.NYM,X3 Future JAN 23 2013,NYM
SLM1309.NYM,"Natural Gas El Paso, Permian Sw",NYM
YESB-H1328.BO,YESB     MAR  2013 FUTURE,BSE
XON17.NYM,Chicago City Gate Natural Gas P,NYM
J6U1323.NYM,J6 Future SEP 23 2013,NYM
XXJ15.NYM,San Juan Natural Gas Pipeline (,NYM
GQT5.AX,Base Load Quarterly $300 Cap El,ASX
HCLT-H1328.BO,HCLT     MAR  2013 FUTURE,BSE
8144571.EX,D2BK DEC 12/N      ,EUX
GNC6.AX,Base Load Quarterly $300 Cap El,ASX
NJF16.NYM,"San Juan Basis Swap Futures,Jan",NYM
VXNQ1303.NYM,VXN Future AUG 03 2013,NYM
R2:GPCP3T.SA,GPC PART    -ON,SAO
E4U16.NYM,PJM Western Hub Off-Peak Calend,NYM
HA1N13.CME,Weather Salt Lake City Weekly A,CME
QIN13.CMX,"Silver miNY Futures,Jul-2013",CMX
HNZL-X1328.BO,HNZL     NOV  2013 FUTURE,BSE
ZJLN1306.NYM,ZJL Future JUL 06 2013,NYM
XKF14.CBT,"Mini Soybeans Futures,Jan-2014",CBT
QAF14.NYM,Gasoil Mini Calendar Swap Futur,NYM
R2:MTSA4T.SA,METISA      -PN,SAO
RBBQ14.NYM,"future for RBB, August, 2014, t",NYM
NMV16.NYM,Tennessee 500 Leg Basis (Natura,NYM
CFSJ13.NYM,"future for CFS, April, 2013, tr",NYM
Q7X1318.NYM,Q7 Future NOV 18 2013 Trading S,NYM
UMLZ14.NYM,"future for UML, December, 2014,",NYM
VDLM1318.NYM,VDL Future JUN 18 2013,NYM
J8H1315.NYM,J8 Future MAR 15 2013,NYM
S:TRE-P-J13-U13.PH,,XPH
FTLZ1314.NYM,FTL Future DEC 14 2013 Trading ,NYM
QO3Z13.CBT,QO3 Future DEC 2013 Trading Ses,CBT
SJZ1304.NYM,"San Juan Swing Swap Futures,Dec",NYM
X4H1328.NYM,X4 Future MAR 28 2013,NYM
EPNU14.NYM,"future for EPN, September, 2014",NYM
QAG13.NYM,Gasoil Mini Calendar Swap Futur,NYM
ABYQ13.NYM,ABY Future AUG 2013,NYM
SNV1312.NYM,Natural Gas Henry Hub Swing Fut,NYM
VSNJ1330.NYM,VSN Future APR 30 2013,NYM
YAHN14.CME,YAH Future JUL 2014,CME
X4G1301.NYM,X4 Future FEB 01 2013,NYM
ENEL3K.MDD,ENEL NOV 13        ,MDD
RPMV15.CBT,Mortgage Backed Secu RPM 201510,CBT
R3J15.NYM,PJM BGE zone Off-Peak calendar ,NYM
RMEZ13.CME,Chinese Renminbi / Euro (NDF-St,CME
SYX1301.NYM,"Natural Gas Waha Swing Futures,",NYM
